,image number,image_name,condition,time when it onsets
0,1,FACE_36,Face,0.02436880000095698
0,2,FACE_34,Face,0.5400714999996126
0,3,FACE_26,Face,1.0541850999998132
0,4,FACE_31,Face,1.5671459000004688
0,5,FACE_49,Face,2.0807196000005206
0,6,FACE_44,Face,2.5959638000003906
0,7,FACE_80,Face,3.110618400000021
0,8,FACE_74,Face,3.6241755000010016
0,9,FACE_18,Face,4.138258200000564
0,10,FACE_75,Face,4.651773999999932
0,11,FACE_33,Face,5.165570600000137
0,12,FACE_4,Face,5.680644899999606
0,13,FACE_24,Face,6.194827000001169
0,14,FACE_46,Face,6.707857900000818
0,15,FACE_2,Face,7.221453199999814
0,16,FACE_32,Face,7.734903900000063
0,17,FACE_10,Face,8.249316999999792
0,18,FACE_5,Face,8.763307299999724
0,19,FACE_52,Face,9.277017899999919
0,20,FACE_73,Face,9.790686800000913
0,1,SC15,scene,20.31708939999953
0,2,SC76,scene,20.833007400000497
0,3,SC44,scene,21.348034599999664
0,4,SC10,scene,21.862460500000452
0,5,SC51,scene,22.37537060000068
0,6,SC3,scene,22.887525000000096
0,7,SC9,scene,23.401192000001174
0,8,SC74,scene,23.9139140999996
0,9,SC79,scene,24.42694830000073
0,10,SC28,scene,24.94088240000019
0,11,SC21,scene,25.45498090000001
0,12,SC37,scene,25.96848130000035
0,13,SC33,scene,26.482956800000466
0,14,SC30,scene,26.997774100000242
0,15,SC14,scene,27.513117899999997
0,16,SC24,scene,28.025316799999928
0,17,SC64,scene,28.538553899999897
0,18,SC11,scene,29.053014000000985
0,19,SC6,scene,29.56712510000034
0,20,SC43,scene,30.081431599999632
0,1,SCR_FACE_77,scrambled,40.603835800000525
0,2,SCR_FACE_15,scrambled,41.117942500000936
0,3,SCR_FACE_41,scrambled,41.63209530000131
0,4,SCR_FACE_2,scrambled,42.14504190000116
0,5,SCR_FACE_12,scrambled,42.657939000000624
0,6,SCR_FACE_75,scrambled,43.17205060000015
0,7,SCR_FACE_59,scrambled,43.68559920000007
0,8,SCR_FACE_10,scrambled,44.20017220000045
0,9,SCR_FACE_49,scrambled,44.71424830000069
0,10,SCR_FACE_37,scrambled,45.2274780000007
0,11,SCR_FACE_51,scrambled,45.74274020000121
0,12,SCR_FACE_4,scrambled,46.25746270000127
0,13,SCR_FACE_29,scrambled,46.7715489000002
0,14,SCR_FACE_79,scrambled,47.28677630000129
0,15,SCR_FACE_69,scrambled,47.8012587000012
0,16,SCR_FACE_24,scrambled,48.31639329999962
0,17,SCR_FACE_64,scrambled,48.830037800000355
0,18,SCR_FACE_33,scrambled,49.34266360000038
0,19,SCR_FACE_7,scrambled,49.855817800000295
0,20,SCR_FACE_38,scrambled,50.36996089999957
0,1,FACE_4,Face,60.89238090000072
0,2,FACE_19,Face,61.40719309999986
0,3,FACE_10,Face,61.9211561000011
0,4,FACE_78,Face,62.43489380000028
0,5,FACE_2,Face,62.94996230000106
0,6,FACE_59,Face,63.46541249999973
0,7,FACE_1,Face,63.97911340000064
0,8,FACE_61,Face,64.4932886000006
0,9,FACE_54,Face,65.0056497000005
0,10,FACE_13,Face,65.52002340000035
0,11,FACE_52,Face,66.03516000000127
0,12,FACE_58,Face,66.54737250000107
0,13,FACE_23,Face,67.06150730000081
0,14,FACE_45,Face,67.57288719999997
0,15,FACE_21,Face,68.08892999999989
0,16,FACE_20,Face,68.60402430000067
0,17,FACE_50,Face,69.11932379999962
0,18,FACE_9,Face,69.63221520000116
0,19,FACE_60,Face,70.14520210000046
0,20,FACE_74,Face,70.65928840000015
0,1,SC66,scene,81.1836774000003
0,2,SC14,scene,81.6972308000004
0,3,SC37,scene,82.20922090000022
0,4,SC68,scene,82.72461199999998
0,5,SC8,scene,83.2382073000008
0,6,SC2,scene,83.75350270000126
0,7,SC72,scene,84.26812489999975
